Customer_ID,Recommended_Category,Reason,Confidence,RFM_Segment,Cluster_Name,Predicted_CLV,Churn_Probability
CUS000825,Fruits,Association Rules,0.701729436554542,Champions,Dormant Veterans,556806.0042201239,0.4942992754417063
CUS000825,Equipment,Association Rules,0.671219835254151,Champions,Dormant Veterans,556806.0042201239,0.4942992754417063
CUS000825,Feed,Association Rules,0.6386166672251756,Champions,Dormant Veterans,556806.0042201239,0.4942992754417063
CUS000826,Equipment,Hybrid (Collaborative + Association),1.0,Champions,Dormant Veterans,1919884.737060207,0.7860507732213659
CUS000826,Fertilizer,Association Rules,1.0,Champions,Dormant Veterans,1919884.737060207,0.7860507732213659
CUS000826,Feed,Association Rules,1.0,Champions,Dormant Veterans,1919884.737060207,0.7860507732213659
CUS000827,Equipment,Association Rules,0.31512959466284873,At Risk,Lost Low-Value,143246.43186862476,0.9995457789599156
CUS000827,Feed,Association Rules,0.29012955797697954,At Risk,Lost Low-Value,143246.43186862476,0.9995457789599156
CUS000827,Fruits,Association Rules,0.2690364625410675,At Risk,Lost Low-Value,143246.43186862476,0.9995457789599156
CUS000828,Fruits,Association Rules,1.0,Champions,Loyal High-Value,10635037.752313508,0.0128898119513978
CUS000829,Other,Association Rules,0.4832405348939241,Big Spenders,Mid-Tier Customers,262745.8036791991,0.9994754536213072
CUS000829,Unknown,Association Rules,0.3560902405913023,Big Spenders,Mid-Tier Customers,262745.8036791991,0.9994754536213072
CUS000829,Poultry,Association Rules,0.31512959466284873,Big Spenders,Mid-Tier Customers,262745.8036791991,0.9994754536213072
CUS000830,Equipment,Association Rules,0.31512959466284873,About to Sleep,Mid-Tier Customers,110272.08422003489,0.1406238179320937
CUS000830,Feed,Association Rules,0.29012955797697954,About to Sleep,Mid-Tier Customers,110272.08422003489,0.1406238179320937
CUS000830,Fruits,Association Rules,0.2690364625410675,About to Sleep,Mid-Tier Customers,110272.08422003489,0.1406238179320937
CUS000831,Feed,Association Rules,0.8553874838678077,Champions,Dormant Veterans,9461376.467531592,0.9997802840222084
CUS000831,Other,Association Rules,0.8492948545419884,Champions,Dormant Veterans,9461376.467531592,0.9997802840222084
CUS000831,Fruits,Association Rules,0.7550884068050361,Champions,Dormant Veterans,9461376.467531592,0.9997802840222084
CUS000832,Equipment,Association Rules,0.31512959466284873,Big Spenders,Mid-Tier Customers,403991.1783056409,0.9994754536213072
CUS000832,Feed,Association Rules,0.29012955797697954,Big Spenders,Mid-Tier Customers,403991.1783056409,0.9994754536213072
CUS000832,Fruits,Association Rules,0.2690364625410675,Big Spenders,Mid-Tier Customers,403991.1783056409,0.9994754536213072
CUS000833,Equipment,Association Rules,0.4832405348939241,Lost,Lost Low-Value,25435.029751253227,0.9996253440568956
CUS000833,Feed,Association Rules,0.448302807430727,Lost,Lost Low-Value,25435.029751253227,0.9996253440568956
CUS000833,Fertilizer,Association Rules,0.3774573400147679,Lost,Lost Low-Value,25435.029751253227,0.9996253440568956
CUS000834,Fruits,Association Rules,0.43269297401347445,Hibernating,Lost Low-Value,36692.80917662264,0.9996253454164846
CUS000834,Equipment,Association Rules,0.3560902405913023,Hibernating,Lost Low-Value,36692.80917662264,0.9996253454164846
CUS000834,Feed,Association Rules,0.3484871092481961,Hibernating,Lost Low-Value,36692.80917662264,0.9996253454164846
CUS000835,Fruits,Association Rules,0.5180207407407407,About to Sleep,Mid-Tier Customers,159523.13075668042,0.9996237591935055
CUS000835,Fertilizer,Association Rules,0.49025475805136304,About to Sleep,Mid-Tier Customers,159523.13075668042,0.9996237591935055
CUS000835,Feed,Association Rules,0.3175660749506903,About to Sleep,Mid-Tier Customers,159523.13075668042,0.9996237591935055
CUS000836,Equipment,Association Rules,0.31512959466284873,Lost,Lost Low-Value,74675.93294151963,0.999323078712422
CUS000836,Feed,Association Rules,0.29012955797697954,Lost,Lost Low-Value,74675.93294151963,0.999323078712422
CUS000836,Fruits,Association Rules,0.2690364625410675,Lost,Lost Low-Value,74675.93294151963,0.999323078712422
CUS000837,Fruits,Association Rules,0.701729436554542,About to Sleep,Dormant Veterans,46020.315801254124,0.9995456597856064
CUS000837,Equipment,Association Rules,0.671219835254151,About to Sleep,Dormant Veterans,46020.315801254124,0.9995456597856064
CUS000837,Feed,Association Rules,0.6386166672251756,About to Sleep,Dormant Veterans,46020.315801254124,0.9995456597856064
CUS000838,Equipment,Association Rules,0.7983701295567728,About to Sleep,Dormant Veterans,62416.02355652738,0.9995457789599156
CUS000838,Seeds,Hybrid (Collaborative + Association),0.7525598540227731,About to Sleep,Dormant Veterans,62416.02355652738,0.9995457789599156
CUS000838,Feed,Association Rules,0.7384323654077065,About to Sleep,Dormant Veterans,62416.02355652738,0.9995457789599156
CUS000839,Fruits,Association Rules,0.5180207407407407,Need Attention,Mid-Tier Customers,34468.82566692798,0.9996253457127178
CUS000839,Fertilizer,Association Rules,0.49025475805136304,Need Attention,Mid-Tier Customers,34468.82566692798,0.9996253457127178
CUS000839,Feed,Association Rules,0.3175660749506903,Need Attention,Mid-Tier Customers,34468.82566692798,0.9996253457127178
CUS000840,Equipment,Association Rules,0.31512959466284873,Big Spenders,Lost Low-Value,1022379.9901246676,0.9994612252341906
CUS000840,Feed,Association Rules,0.29012955797697954,Big Spenders,Lost Low-Value,1022379.9901246676,0.9994612252341906
CUS000840,Fruits,Association Rules,0.2690364625410675,Big Spenders,Lost Low-Value,1022379.9901246676,0.9994612252341906
CUS000841,Fruits,Association Rules,0.43269297401347445,Lost,Lost Low-Value,74603.9814329391,0.9994416582636004
CUS000841,Equipment,Association Rules,0.3560902405913023,Lost,Lost Low-Value,74603.9814329391,0.9994416582636004
CUS000841,Feed,Association Rules,0.3484871092481961,Lost,Lost Low-Value,74603.9814329391,0.9994416582636004
CUS000842,Equipment,Association Rules,1.0,About to Sleep,Mid-Tier Customers,180611.63727360632,0.1798264940017725
CUS000842,Feed,Association Rules,0.8772659952040546,About to Sleep,Mid-Tier Customers,180611.63727360632,0.1798264940017725
