Customer_ID,Category,Customer_CLV,Category_Popularity
CUS001471,Equipment,1704366.7200065963,86
CUS001471,Vegetables,1704366.7200065963,28
CUS001471,Fruits,1704366.7200065963,15
CUS001472,Poultry,2129802.094628376,10299
CUS001472,Unknown,2129802.094628376,2339
CUS001472,Seeds,2129802.094628376,880
CUS001472,Fertilizer,2129802.094628376,218
CUS001472,Feed,2129802.094628376,217
CUS001472,Agrochemicals,2129802.094628376,161
CUS001472,Equipment,2129802.094628376,86
CUS001472,Vegetables,2129802.094628376,28
CUS001472,Fruits,2129802.094628376,15
CUS001478,Feed,4021852.155413287,217
CUS001478,Equipment,4021852.155413287,86
CUS001478,Vegetables,4021852.155413287,28
CUS001478,Fruits,4021852.155413287,15
CUS001484,Poultry,2749441.032049641,10299
CUS001484,Other,2749441.032049641,2175
CUS001484,Seeds,2749441.032049641,880
CUS001484,Fertilizer,2749441.032049641,218
CUS001484,Feed,2749441.032049641,217
CUS001484,Agrochemicals,2749441.032049641,161
CUS001484,Equipment,2749441.032049641,86
CUS001484,Vegetables,2749441.032049641,28
CUS001484,Fruits,2749441.032049641,15
CUS001488,Unknown,2096236.881198797,2339
CUS001488,Other,2096236.881198797,2175
CUS001488,Seeds,2096236.881198797,880
CUS001488,Fertilizer,2096236.881198797,218
CUS001488,Feed,2096236.881198797,217
CUS001488,Agrochemicals,2096236.881198797,161
CUS001488,Equipment,2096236.881198797,86
CUS001488,Vegetables,2096236.881198797,28
CUS001488,Fruits,2096236.881198797,15
CUS001491,Other,1810937.825364489,2175
CUS001491,Seeds,1810937.825364489,880
CUS001491,Fertilizer,1810937.825364489,218
CUS001491,Feed,1810937.825364489,217
CUS001491,Agrochemicals,1810937.825364489,161
CUS001491,Equipment,1810937.825364489,86
CUS001491,Vegetables,1810937.825364489,28
CUS001491,Fruits,1810937.825364489,15
CUS001493,Poultry,5302592.680509145,10299
CUS001493,Unknown,5302592.680509145,2339
CUS001493,Other,5302592.680509145,2175
CUS001493,Fertilizer,5302592.680509145,218
CUS001493,Feed,5302592.680509145,217
CUS001493,Agrochemicals,5302592.680509145,161
CUS001493,Equipment,5302592.680509145,86
CUS001493,Vegetables,5302592.680509145,28
CUS001493,Fruits,5302592.680509145,15
CUS001497,Unknown,650390.2164635202,2339
CUS001497,Fertilizer,650390.2164635202,218
CUS001497,Feed,650390.2164635202,217
CUS001497,Agrochemicals,650390.2164635202,161
CUS001497,Equipment,650390.2164635202,86
CUS001497,Vegetables,650390.2164635202,28
CUS001497,Fruits,650390.2164635202,15
CUS001507,Unknown,1902227.549468534,2339
