Customer_ID,RFM_Segment,Action,Monetary,Predicted_CLV,Churn_Probability,Purchase_Timing_Status,Recency
CUS000904,Champions,Contact Now: High-Value Due,96967052.0,96947345.13250658,0.012354174780478176,Due Soon,25
CUS001890,Champions,Contact Now: High-Value Due,31480199.97,31438391.00136186,0.007841905636609466,Due Soon,27
CUS001585,Champions,Contact Now: High-Value Due,16098344.24,16092884.389316095,0.009154945474174983,Due Soon,33
CUS001840,Champions,Contact Now: High-Value Due,13755920.92,13731111.820585394,0.006835731045384094,Due Soon,50
CUS002608,Champions,Contact Now: High-Value Due,12516235.0,12540965.594327442,0.01596272926584408,Due Soon,54
CUS001220,Champions,Contact Now: High-Value Due,9199460.97,9187495.934776084,0.007364096592145025,Due Soon,39
CUS001660,Champions,Contact Now: High-Value Due,6639293.87,6609558.841907731,0.010416982417664387,Due Soon,42
CUS001643,Champions,Contact Now: High-Value Due,6437699.99,6485033.153033196,0.012537455946942801,Due Soon,57
CUS001881,Champions,Contact Now: High-Value Due,7829149.99,7328893.864282857,0.019160632887928106,Due Soon,56
CUS001073,Champions,Contact Now: High-Value Due,4778260.0,4764950.735869016,0.00873282448884238,Due Soon,54
CUS001715,Champions,Contact Now: High-Value Due,5770273.79,5780167.4031616105,0.01698563196157877,Due Soon,57
CUS001899,Champions,Contact Now: High-Value Due,5435844.8,5418468.586054877,0.016509812579293605,Due Soon,77
CUS000612,Champions,Contact Now: High-Value Due,3323968.97,3327460.6825029585,0.007813652994984328,Due Soon,56
CUS002822,Champions,Contact Now: High-Value Due,8168324.59,8188113.919636491,0.03357855263745354,Due Soon,67
CUS000536,Champions,Contact Now: High-Value Due,4293342.49,4418169.537076939,0.014063817946747364,Due Soon,62
CUS000742,Champions,Contact Now: High-Value Due,4648800.0,4619042.293548855,0.02347815096411338,Due Soon,64
CUS002705,Champions,Contact Now: High-Value Due,11584187.49,12631282.269772539,0.007920822032005746,Due Soon,20
CUS002344,Champions,Contact Now: High-Value Due,4765627.66,4707091.5118307825,0.03906157151294499,Due Soon,62
CUS000027,Champions,Contact Now: High-Value Due,5508490.0,5418252.874438045,0.0699403635689926,Due Soon,69
CUS001271,Champions,Contact Now: High-Value Due,5019889.0,5180766.503604343,0.08225709638028099,Due Soon,89
CUS003049,Champions,Contact Now: High-Value Due,900000.0,955656.4392731724,0.005898451039188485,Due Soon,22
CUS002380,Champions,Contact Now: High-Value Due,2107200.0,2056820.1078649522,0.08270238444086858,Due Soon,62
CUS001614,Champions,Contact Now: High-Value Due,1851000.0,1902862.488608066,0.018860788067723334,Due Soon,60
CUS002951,Champions,Contact Now: High-Value Due,4589799.850000001,4521901.745675385,0.11984711540678895,Due Soon,173
CUS001622,Champions,Contact Now: High-Value Due,1060312.5,996735.1250206149,0.1224364181881556,Due Soon,96
CUS001248,Champions,Contact Now: High-Value Due,2364600.0,1947041.6284366213,0.07136873641941319,Due Soon,57
CUS002826,Big Spenders,Contact Now: High-Value Due,879999.99,888450.7013373189,0.006011098134983161,Due Soon,35
CUS001965,Champions,Contact Now: High-Value Due,244050.0,276619.89440029353,0.006137062024095213,Due Soon,22
CUS000969,Champions,Contact Now: High-Value Due,347000.0,339811.4666829074,0.017921395867126936,Due Soon,43
CUS001208,Champions,Contact Now: High-Value Due,686000.0,632094.873212678,0.025092940429048343,Due Soon,49
CUS002869,Champions,Contact Now: High-Value Due,2082149.8,2056593.1961921444,0.20647844983274807,Due Soon,134
CUS000420,About to Sleep,Contact Now: High-Value Due,204000.0,184237.27565846322,0.005813487670701617,Due Soon,43
CUS001245,Champions,Contact Now: High-Value Due,14951145.0,14928571.46444141,0.3220424717181662,Due Soon,89
CUS001423,About to Sleep,Contact Now: High-Value Due,137250.0,144457.61324462126,0.005694858635266923,Due Soon,68
CUS001553,About to Sleep,Contact Now: High-Value Due,206000.0,181938.82605176073,0.011878601367191127,Due Soon,57
CUS002430,Champions,Contact Now: High-Value Due,452100.0,464644.19880850194,0.23362450803022553,Due Soon,116
CUS002515,About to Sleep,Contact Now: High-Value Due,153500.0,145967.60093472974,0.1903168107203237,Due Soon,64
CUS002717,Big Spenders,Contact Now: High-Value Due,236000.0,259731.9336793752,0.2620275309045082,Due Soon,89
CUS001038,Champions,Contact Now: High-Value Due,1188250.0,1299769.9176408476,0.4846568090556267,Due Soon,120
CUS001252,Champions,Contact Now: High-Value Due,1112749.69,1156734.1878188492,0.5857907978182533,Due Soon,98
CUS001258,Champions,Contact Now: High-Value Due,827499.59,1151438.445532166,0.5882307305186391,Due Soon,162
CUS000105,Champions,Contact Now: High-Value Due,2060622.91,2052916.3558729477,0.666572310166304,Due Soon,168
CUS000582,Champions,Contact Now: High-Value Due,3957793.37,3936906.0458369614,0.6936544752312562,Due Soon,131
CUS000303,Champions,Contact Now: High-Value Due,1051080.0,1055119.3631033688,0.6817221438278543,Due Soon,111
CUS002742,Champions,Contact Now: High-Value Due,1010015.0,980366.6764242473,0.7072633878947445,Due Soon,138
CUS002842,Champions,Contact Now: High-Value Due,1605390.0,1654849.9458958528,0.7146843856414083,Due Soon,124
CUS002286,Champions,Contact Now: High-Value Due,983650.0,994380.2632161062,0.7399471690181343,Due Soon,148
CUS001562,Champions,Contact Now: High-Value Due,1758250.0,1727150.122948178,0.7573351664361458,Due Soon,120
CUS001041,Champions,Contact Now: High-Value Due,6659199.95,6606891.296467809,0.78773271809947,Due Soon,104
CUS000826,Champions,Contact Now: High-Value Due,1889279.97,1919884.737060207,0.7860507732213659,Due Soon,154
CUS001836,Champions,Contact Now: High-Value Due,16848292.42,16824454.15664647,0.8714115688703591,Due Soon,120
CUS000450,Champions,Contact Now: High-Value Due,932050.0,929087.6733738299,0.8051570709366779,Due Soon,113
CUS001058,Champions,Contact Now: High-Value Due,580250.0,515395.20420824457,0.7425859477211147,Due Soon,178
CUS001236,Champions,Contact Now: High-Value Due,861499.87,876112.5660585213,0.848279020499791,Due Soon,162
